term_str,PC0,PC1,PC2,PC3,PC4
act,-2.407037498375329e-05,-4.5948942401551545e-05,4.4488661949373494e-05,4.412649247145816e-05,-2.0388955862148478e-05
acting,-2.0701504624380622e-05,-3.745595327756051e-05,-6.070582114972546e-06,-3.499016153260521e-05,-3.9160310864007595e-05
action,-2.807038372580239e-05,-5.035456470377419e-05,-7.532883531771143e-05,4.7271855742673685e-05,2.6693367400662018e-05
actions,-7.568240327885368e-06,-1.3095565478678098e-05,-1.61266943940623e-05,-1.5974403975378895e-05,4.060482846243693e-06
actress,-3.074304914599957e-05,-5.191670144817797e-05,-6.113700287679091e-05,-4.8495890775394936e-05,5.747245085746087e-06
actually,-4.759773915049864e-05,-9.130682939517897e-05,0.00016836397345879872,-1.3685480700095677e-05,-3.2004445685515974e-06
add,-9.645741042460578e-06,-1.596537285183707e-05,-2.0575159724584228e-05,-1.1130128108385367e-05,1.2050913478848394e-06
added,-1.9739202782820916e-05,-4.131777824302883e-05,0.00015142533149692464,1.4449803592111892e-05,-4.5864099903006135e-05
addition,-1.0310919426322431e-05,-2.2826063759448104e-05,0.00010879576173085067,1.46480528194999e-05,-3.16753354679232e-05
address,-2.146477352426948e-05,-3.862086642161132e-05,-1.9569999014060077e-05,-4.3653613598933664e-05,7.055874460957166e-05
addressed,-9.26081147313649e-06,-1.6652504432408434e-05,-3.465533999120327e-05,0.0001478683937888457,5.699887702503636e-06
addresses,-1.1991314478701353e-05,-1.919711303963796e-05,-2.8112479443666467e-05,-3.0208678337732173e-05,7.956372495115524e-06
adjourned,-8.23098419447839e-06,-1.4753919463583356e-05,-1.928747653232824e-05,-2.3930846652193872e-05,8.714814004110368e-06
adjustments,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
admirable,-1.3824931267570336e-05,-2.2808258345086883e-05,-3.0178662849029467e-05,-3.0242663178196182e-05,5.884354652771924e-06
admiration,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
admired,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
admit,-1.2346476291718942e-05,-2.2130879195377464e-05,-2.893121479849554e-05,-3.589626997829471e-05,1.3072221006166995e-05
admitted,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
admonition,-7.701796971081028e-06,-1.3302071444386119e-05,-2.118298283289703e-05,-1.3966243667949624e-05,-3.909604535379733e-05
ado,-1.212367631050126e-05,-2.1594885134669044e-05,-3.4222983124980485e-05,-3.9257749961790356e-05,-7.911901160925778e-05
adopt,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
adopted,-8.23098419447839e-06,-1.4753919463583356e-05,-1.928747653232824e-05,-2.3930846652193872e-05,8.714814004110368e-06
adorable,-8.74041997539093e-06,-1.5985066980022223e-05,-2.5230472845474876e-05,-3.927539897991643e-05,-6.82057268275537e-05
adore,-1.063732124464308e-05,-2.227021341454846e-05,7.310979060368942e-05,1.9780381042832674e-06,-2.0142887256128338e-05
adored,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
